docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	whit	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	compared	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	role	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	pros	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	mesos	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	1.0	1.0	244,000000	5,497168	cons	5,497168
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	8.0	1.0	31,375000	3,446011	yarn	3,446011
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	54.0	1.0	5,500000	1,704748	and	1,704748
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
1/6/2015 13:41:08_mirko.kaempf@cloudera.com_17	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
