docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	2.0	1.0	122,500000	4,808111	documents	4,808111
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	2.0	1.0	122,500000	4,808111	xml	4,808111
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	8.0	1.0	31,375000	3,446011	mapreduce	3,446011
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	8.0	1.0	31,375000	3,446011	process	3,446011
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	17.0	1.0	15,294118	2,727468	using	2,727468
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/10/2015 21:22:01_etroyka@cloudera.com_27	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
