docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	3.0	2.0	82,000000	4,406719	kerberos	8,813438
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	2.0	1.0	122,500000	4,808111	describes	4,808111
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	2.0	1.0	122,500000	4,808111	document	4,808111
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	2.0	1.0	122,500000	4,808111	roughly	4,808111
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	2.0	1.0	122,500000	4,808111	clusters	4,808111
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	2.0	1.0	122,500000	4,808111	integrating	4,808111
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	3.0	1.0	82,000000	4,406719	percentage	4,406719
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	3.0	1.0	82,000000	4,406719	ldap	4,406719
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	5.0	1.0	49,600000	3,903991	globalknowledge.com	3,903991
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	5.0	1.0	49,600000	3,903991	jason.levitt	3,903991
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	6.0	1.0	41,500000	3,725693	levitt	3,725693
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	6.0	1.0	41,500000	3,725693	jason	3,725693
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	10.0	1.0	25,300000	3,230804	running	3,230804
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	12.0	1.0	21,250000	3,056357	13	3,056357
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	12.0	1.0	21,250000	3,056357	actp_instructo	3,056357
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	13.0	1.0	19,692308	2,980228	hadoop	2,980228
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	14.0	1.0	18,357143	2,910019	4	2,910019
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	22.0	1.0	12,045455	2,488687	with	2,488687
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	29.0	1.0	9,379310	2,238506	there	2,238506
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/11/2015 16:11:27_charding@cloudera.com_43	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
