docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	2.0	244,000000	5,497168	prior	10,994336
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	far	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	22	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	ernest	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	miss	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	michael	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	instructions	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	isn't	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	top	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	michael.ernest	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	made	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	1.0	1.0	244,000000	5,497168	loading	5,497168
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	2.0	1.0	122,500000	4,808111	weblog	4,808111
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	2.0	1.0	122,500000	4,808111	lab	4,808111
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	2.0	1.0	122,500000	4,808111	image	4,808111
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	3.0	1.0	82,000000	4,406719	created	4,406719
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	3.0	1.0	82,000000	4,406719	did	4,406719
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	3.0	1.0	82,000000	4,406719	p	4,406719
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	3.0	1.0	82,000000	4,406719	10	4,406719
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	3.0	1.0	82,000000	4,406719	unsubscribe	4,406719
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	4.0	1.0	61,750000	4,123094	directory	4,123094
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	4.0	1.0	61,750000	4,123094	tell	4,123094
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	6.0	1.0	41,500000	3,725693	following	3,725693
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	7.0	1.0	35,714286	3,575551	cloudera.com	3,575551
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	7.0	1.0	35,714286	3,575551	something	3,575551
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	12.0	1.0	21,250000	3,056357	13	3,056357
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	12.0	1.0	21,250000	3,056357	actp_instructo	3,056357
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	13.0	1.0	19,692308	2,980228	into	2,980228
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	73.0	2.0	4,328767	1,465283	i	2,930566
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	14.0	1.0	18,357143	2,910019	4	2,910019
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	16.0	1.0	16,187500	2,784239	so	2,784239
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	17.0	1.0	15,294118	2,727468	using	2,727468
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	18.0	1.0	14,500000	2,674149	as	2,674149
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	101.0	2.0	3,405941	1,225521	to	2,451042
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	24.0	1.0	11,125000	2,409195	by	2,409195
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	31.0	1.0	8,838710	2,179141	not	2,179141
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	31.0	1.0	8,838710	2,179141	data	2,179141
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	54.0	1.0	5,500000	1,704748	and	1,704748
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
2/11/2015 16:49:14_charding@cloudera.com_45	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
