docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	1.0	1.0	244,000000	5,497168	look	5,497168
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	1.0	1.0	244,000000	5,497168	gui	5,497168
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	1.0	1.0	244,000000	5,497168	desktop	5,497168
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	1.0	1.0	244,000000	5,497168	explorer	5,497168
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	3.0	1.0	82,000000	4,406719	30	4,406719
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	4.0	1.0	61,750000	4,123094	users	4,123094
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	4.0	1.0	61,750000	4,123094	tools	4,123094
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	5.0	1.0	49,600000	3,903991	globalknowledge.com	3,903991
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	5.0	1.0	49,600000	3,903991	jason.levitt	3,903991
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	6.0	1.0	41,500000	3,725693	type	3,725693
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	6.0	1.0	41,500000	3,725693	jason	3,725693
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	6.0	1.0	41,500000	3,725693	levitt	3,725693
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	8.0	1.0	31,375000	3,446011	could	3,446011
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	11.0	1.0	23,090909	3,139439	any	3,139439
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	11.0	1.0	23,090909	3,139439	at	3,139439
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	12.0	1.0	21,250000	3,056357	actp_instructo	3,056357
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	12.0	1.0	21,250000	3,056357	13	3,056357
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	13.0	1.0	19,692308	2,980228	files	2,980228
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	14.0	1.0	18,357143	2,910019	4	2,910019
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	101.0	2.0	3,405941	1,225521	to	2,451042
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	25.0	1.0	10,720000	2,372111	file	2,372111
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	29.0	1.0	9,379310	2,238506	there	2,238506
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/11/2015 17:00:31_charding@cloudera.com_46	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
