docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	1.0	1.0	244,000000	5,497168	produced	5,497168
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	2.0	1.0	122,500000	4,808111	customize	4,808111
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	3.0	1.0	82,000000	4,406719	names	4,406719
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	8.0	1.0	31,375000	3,446011	mapreduce	3,446011
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	13.0	1.0	19,692308	2,980228	job	2,980228
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	24.0	1.0	11,125000	2,409195	by	2,409195
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	25.0	1.0	10,720000	2,372111	file	2,372111
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/11/2015 13:42:50_etroyka@cloudera.com_33	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
