docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	4.0	244,000000	5,497168	slow	21,988673
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	3.0	122,500000	4,808111	jt	14,424333
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	2.0	244,000000	5,497168	end	10,994336
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	2.0	244,000000	5,497168	somewhere	10,994336
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	8.0	3.0	31,375000	3,446011	am	10,338034
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	10.0	3.0	25,300000	3,230804	running	9,692413
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	15.0	3.0	17,200000	2,844909	will	8,534728
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	8.0	2.0	31,375000	3,446011	task	6,892023
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	9.0	2.0	28,000000	3,332205	tasks	6,664409
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	11.0	2.0	23,090909	3,139439	new	6,278878
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	12.0	2.0	21,250000	3,056357	up	6,112714
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	44.0	3.0	6,522727	1,875293	that	5,625878
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	ensure	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	suspend	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	act	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	speculated	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	also	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	framework	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	gurbaxani	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	schedules	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	1.0	1.0	244,000000	5,497168	else	5,497168
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	copy	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	expected	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	ravi	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	slower	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	continue	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	2.0	1.0	122,500000	4,808111	try	4,808111
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	70.0	3.0	4,471429	1,497708	of	4,493124
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	3.0	1.0	82,000000	4,406719	may	4,406719
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	3.0	1.0	82,000000	4,406719	instance	4,406719
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	31.0	2.0	8,838710	2,179141	not	4,358282
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	33.0	2.0	8,363636	2,123893	one	4,247787
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	4.0	1.0	61,750000	4,123094	being	4,123094
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	4.0	1.0	61,750000	4,123094	runs	4,123094
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	4.0	1.0	61,750000	4,123094	machine	4,123094
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	5.0	1.0	49,600000	3,903991	execution	3,903991
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	5.0	1.0	49,600000	3,903991	speculative	3,903991
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	6.0	1.0	41,500000	3,725693	case	3,725693
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	46.0	2.0	6,282609	1,837785	or	3,675571
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	54.0	2.0	5,500000	1,704748	and	3,409496
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	10.0	1.0	25,300000	3,230804	both	3,230804
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	133.0	3.0	2,827068	1,039240	the	3,117720
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	12.0	1.0	21,250000	3,056357	more	3,056357
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	12.0	1.0	21,250000	3,056357	1	3,056357
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	21.0	1.0	12,571429	2,531427	than	2,531427
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	28.0	1.0	9,678571	2,269914	be	2,269914
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	30.0	1.0	9,100000	2,208274	an	2,208274
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	34.0	1.0	8,147059	2,097657	on	2,097657
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/11/2015 21:09:37_etroyka@cloudera.com_53	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
