docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	1.0	1.0	244,000000	5,497168	sent	5,497168
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	4.0	1.0	61,750000	4,123094	distributed	4,123094
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	5.0	1.0	49,600000	3,903991	nodes	3,903991
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	6.0	1.0	41,500000	3,725693	cache	3,725693
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	8.0	1.0	31,375000	3,446011	task	3,446011
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	13.0	1.0	19,692308	2,980228	files	2,980228
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/11/2015 21:17:16_etroyka@cloudera.com_55	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
