docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	years	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	distro	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	break	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	hortonworks	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	expect	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	kind	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	1.0	1.0	244,000000	5,497168	pain	5,497168
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	2.0	1.0	122,500000	4,808111	decide	4,808111
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	43.0	2.0	6,651163	1,894792	what	3,789583
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	8.0	1.0	31,375000	3,446011	could	3,446011
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	8.0	1.0	31,375000	3,446011	3	3,446011
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	10.0	1.0	25,300000	3,230804	now	3,230804
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	70.0	2.0	4,471429	1,497708	of	2,995416
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	13.0	1.0	19,692308	2,980228	rich	2,980228
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	13.0	1.0	19,692308	2,980228	hadoop	2,980228
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	13.0	1.0	19,692308	2,980228	morrow	2,980228
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	73.0	2.0	4,328767	1,465283	i	2,930566
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	24.0	1.0	11,125000	2,409195	from	2,409195
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/11/2015 22:00:02_etroyka@cloudera.com_68	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
