docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	1.0	2.0	244,000000	5,497168	come	10,994336
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	9.0	3.0	28,000000	3,332205	block	9,996614
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	5.0	2.0	49,600000	3,903991	client	7,807982
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	6.0	2.0	41,500000	3,725693	before	7,451387
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	1.0	1.0	244,000000	5,497168	file.txt	5,497168
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	1.0	1.0	244,000000	5,497168	path	5,497168
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	1.0	1.0	244,000000	5,497168	fs	5,497168
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	2.0	1.0	122,500000	4,808111	eg	4,808111
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	3.0	1.0	82,000000	4,406719	needs	4,406719
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	4.0	1.0	61,750000	4,123094	specific	4,123094
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	4.0	1.0	61,750000	4,123094	order	4,123094
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	4.0	1.0	61,750000	4,123094	etc	4,123094
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	5.0	1.0	49,600000	3,903991	correct	3,903991
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	5.0	1.0	49,600000	3,903991	blocks	3,903991
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	6.0	1.0	41,500000	3,725693	get	3,725693
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	101.0	3.0	3,405941	1,225521	to	3,676563
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	7.0	1.0	35,714286	3,575551	doing	3,575551
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	8.0	1.0	31,375000	3,446011	3	3,446011
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	9.0	1.0	28,000000	3,332205	no	3,332205
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	12.0	1.0	21,250000	3,056357	1	3,056357
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	13.0	1.0	19,692308	2,980228	hadoop	2,980228
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	13.0	1.0	19,692308	2,980228	rich	2,980228
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	13.0	1.0	19,692308	2,980228	morrow	2,980228
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	30.0	1.0	9,100000	2,208274	an	2,208274
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/11/2015 22:01:30_etroyka@cloudera.com_69	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
