docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	1.0	1.0	244,000000	5,497168	joshua	5,497168
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	1.0	1.0	244,000000	5,497168	imported	5,497168
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	1.0	1.0	244,000000	5,497168	rock	5,497168
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	3.0	1.0	82,000000	4,406719	compress	4,406719
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	11.0	1.0	23,090909	3,139439	sqoop	3,139439
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	13.0	1.0	19,692308	2,980228	into	2,980228
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	18.0	1.0	14,500000	2,674149	as	2,674149
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	31.0	1.0	8,838710	2,179141	data	2,179141
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
2/11/2015 22:11:34_etroyka@cloudera.com_73	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
