docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	3.0	1.0	82,000000	4,406719	entire	4,406719
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	4.0	1.0	61,750000	4,123094	reduce	4,123094
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	4.0	1.0	61,750000	4,123094	kill	4,123094
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	8.0	1.0	31,375000	3,446011	task	3,446011
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	9.0	1.0	28,000000	3,332205	map	3,332205
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	13.0	1.0	19,692308	2,980228	job	2,980228
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	24.0	1.0	11,125000	2,409195	from	2,409195
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/11/2015 22:22:33_etroyka@cloudera.com_75	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
