docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	1.0	1.0	244,000000	5,497168	were	5,497168
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	2.0	1.0	122,500000	4,808111	compatible	4,808111
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	3.0	1.0	82,000000	4,406719	types	4,406719
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	4.0	1.0	61,750000	4,123094	keys	4,123094
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	5.0	1.0	49,600000	3,903991	join	3,903991
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	6.0	1.0	41,500000	3,725693	happen	3,725693
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	31.0	1.0	8,838710	2,179141	not	2,179141
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/12/2015 15:05:28_mmyers@cloudera.com_90	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
