docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	12.0	2.0	21,250000	3,056357	table	6,112714
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	1.0	1.0	244,000000	5,497168	share	5,497168
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	1.0	1.0	244,000000	5,497168	person	5,497168
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	1.0	1.0	244,000000	5,497168	drops	5,497168
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	2.0	1.0	122,500000	4,808111	suppose	4,808111
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	2.0	1.0	122,500000	4,808111	people	4,808111
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	5.0	1.0	49,600000	3,903991	non	3,903991
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	6.0	1.0	41,500000	3,725693	happens	3,725693
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	7.0	1.0	35,714286	3,575551	external	3,575551
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	31.0	1.0	8,838710	2,179141	data	2,179141
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/12/2015 15:17:44_mmyers@cloudera.com_95	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
