docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	1.0	1.0	244,000000	5,497168	filenames	5,497168
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	1.0	1.0	244,000000	5,497168	instead	5,497168
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	2.0	1.0	122,500000	4,808111	statement	4,808111
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	3.0	1.0	82,000000	4,406719	around	4,406719
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	4.0	1.0	61,750000	4,123094	load	4,123094
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	11.0	1.0	23,090909	3,139439	pig	3,139439
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/12/2015 15:42:57_mmyers@cloudera.com_107	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
