docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	5.0	2.0	49,600000	3,903991	group	7,807982
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	1.0	1.0	244,000000	5,497168	members	5,497168
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	1.0	1.0	244,000000	5,497168	composite	5,497168
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	2.0	1.0	122,500000	4,808111	suppose	4,808111
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	6.0	1.0	41,500000	3,725693	access	3,725693
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	10.0	1.0	25,300000	3,230804	field	3,230804
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	11.0	1.0	23,090909	3,139439	pig	3,139439
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	70.0	2.0	4,471429	1,497708	of	2,995416
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	73.0	2.0	4,328767	1,465283	i	2,930566
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	33.0	1.0	8,363636	2,123893	have	2,123893
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/12/2015 16:32:25_mmyers@cloudera.com_120	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
