docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	3.0	2.0	82,000000	4,406719	unit	8,813438
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	5.0	2.0	49,600000	3,903991	questions	7,807982
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	describe	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	article	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	ideal	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	14466176	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	mocking	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	context	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	mock	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	mypartitioner	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	stackoverflow.com	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	feedback	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	1.0	1.0	244,000000	5,497168	setconf	5,497168
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	19.0	2.0	13,789474	2,623906	we	5,247811
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	couple	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	found	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	hoping	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	call	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	appreciated	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	encounter	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	looking	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	error	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	quick	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	8	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	2.0	1.0	122,500000	4,808111	cleanup	4,808111
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	29.0	2.0	9,379310	2,238506	this	4,477012
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	3.0	1.0	82,000000	4,406719	http	4,406719
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	3.0	1.0	82,000000	4,406719	always	4,406719
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	3.0	1.0	82,000000	4,406719	hi	4,406719
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	73.0	3.0	4,328767	1,465283	i	4,395848
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	test	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	quicloud.com	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	c	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	h	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	guess	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	r	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	object	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	4.0	1.0	61,750000	4,123094	someone	4,123094
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	40.0	2.0	7,075000	1,956567	if	3,913135
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	5.0	1.0	49,600000	3,903991	5	3,903991
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	5.0	1.0	49,600000	3,903991	mr	3,903991
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	6.0	1.0	41,500000	3,725693	configuration	3,725693
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	6.0	1.0	41,500000	3,725693	even	3,725693
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	6.0	1.0	41,500000	3,725693	much	3,725693
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	46.0	2.0	6,282609	1,837785	or	3,675571
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	7.0	1.0	35,714286	3,575551	mapper	3,575551
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	7.0	1.0	35,714286	3,575551	reducer	3,575551
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	7.0	1.0	35,714286	3,575551	method	3,575551
2/12/2015 17:47:29_charding@cloudera.com_139	243.0	7.0	1.0	35,714286	3,575551	was	3,575551
