docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	1.0	1.0	244,000000	5,497168	measured	5,497168
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	2.0	1.0	122,500000	4,808111	setting	4,808111
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	3.0	1.0	82,000000	4,406719	channel	4,406719
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	3.0	1.0	82,000000	4,406719	unit	4,406719
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	4.0	1.0	61,750000	4,123094	being	4,123094
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	4.0	1.0	61,750000	4,123094	size	4,123094
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	12.0	1.0	21,250000	3,056357	flume	3,056357
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	119.0	2.0	3,042017	1,112521	a	2,225041
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	34.0	1.0	8,147059	2,097657	on	2,097657
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/13/2015 17:09:47_whouseholder@cloudera.com_170	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
