docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	1.0	1.0	244,000000	5,497168	checkpoint	5,497168
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	4.0	1.0	61,750000	4,123094	should	4,123094
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	5.0	1.0	49,600000	3,903991	dstream	3,903991
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	7.0	1.0	35,714286	3,575551	method	3,575551
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	8.0	1.0	31,375000	3,446011	application	3,446011
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	16.0	1.0	16,187500	2,784239	streaming	2,784239
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	27.0	1.0	10,000000	2,302585	spark	2,302585
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/13/2015 11:32:27_mhagen@cloudera.com_146	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
