docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	1.0	1.0	244,000000	5,497168	persisting	5,497168
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	2.0	1.0	122,500000	4,808111	follow	4,808111
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	2.0	1.0	122,500000	4,808111	cause	4,808111
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	2.0	1.0	122,500000	4,808111	persist	4,808111
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	2.0	1.0	122,500000	4,808111	caching	4,808111
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	2.0	1.0	122,500000	4,808111	actions	4,808111
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	6.0	1.0	41,500000	3,725693	cache	3,725693
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	7.0	1.0	35,714286	3,575551	method	3,575551
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	16.0	1.0	16,187500	2,784239	all	2,784239
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/13/2015 11:41:34_mhagen@cloudera.com_151	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
