docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	7.0	2.0	35,714286	3,575551	avro	7,151102
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	1.0	1.0	244,000000	5,497168	repeated	5,497168
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	3.0	1.0	82,000000	4,406719	schema	4,406719
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	3.0	1.0	82,000000	4,406719	across	4,406719
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	5.0	1.0	49,600000	3,903991	blocks	3,903991
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	16.0	1.0	16,187500	2,784239	all	2,784239
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	25.0	1.0	10,720000	2,372111	file	2,372111
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	30.0	1.0	9,100000	2,208274	an	2,208274
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
10/7/2014 16:34:18_mirko.kaempf@cloudera.com_13	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
