docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	3.0	244,000000	5,497168	counter	16,491505
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	3.0	3.0	82,000000	4,406719	name	13,220158
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	2.0	244,000000	5,497168	display	10,994336
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	1.0	244,000000	5,497168	friendly	5,497168
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	1.0	244,000000	5,497168	qualified	5,497168
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	1.0	244,000000	5,497168	fully	5,497168
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	1.0	1.0	244,000000	5,497168	enum	5,497168
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	17.0	2.0	15,294118	2,727468	my	5,454937
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	2.0	1.0	122,500000	4,808111	customize	4,808111
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	2.0	1.0	122,500000	4,808111	s	4,808111
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	70.0	3.0	4,471429	1,497708	of	4,493124
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	3.0	1.0	82,000000	4,406719	user	4,406719
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	133.0	4.0	2,827068	1,039240	the	4,156960
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	99.0	2.0	3,454545	1,239691	is	2,479382
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	31.0	1.0	8,838710	2,179141	not	2,179141
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
2/11/2015 14:21:19_etroyka@cloudera.com_36	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
