docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	1.0	1.0	244,000000	5,497168	specified	5,497168
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	1.0	1.0	244,000000	5,497168	often	5,497168
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	3.0	1.0	82,000000	4,406719	combiner	4,406719
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	4.0	1.0	61,750000	4,123094	control	4,123094
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	15.0	1.0	17,200000	2,844909	will	2,844909
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	15.0	1.0	17,200000	2,844909	run	2,844909
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	17.0	1.0	15,294118	2,727468	my	2,727468
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
2/11/2015 14:53:32_etroyka@cloudera.com_37	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
