docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	6.0	2.0	41,500000	3,725693	hue	7,451387
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	1.0	1.0	244,000000	5,497168	place	5,497168
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	1.0	1.0	244,000000	5,497168	register	5,497168
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	functions	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	called	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	bda	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	session	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	11	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	21	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	2.0	1.0	122,500000	4,808111	temporary	4,808111
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	3.0	1.0	82,000000	4,406719	p	4,406719
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	3.0	1.0	82,000000	4,406719	function	4,406719
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	4.0	1.0	61,750000	4,123094	users	4,123094
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	6.0	1.0	41,500000	3,725693	course	3,725693
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	7.0	1.0	35,714286	3,575551	has	3,575551
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	7.0	1.0	35,714286	3,575551	say	3,575551
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	8.0	1.0	31,375000	3,446011	create	3,446011
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	56.0	2.0	5,339286	1,675092	for	3,350184
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	13.0	1.0	19,692308	2,980228	each	2,980228
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	16.0	1.0	16,187500	2,784239	all	2,784239
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	17.0	1.0	15,294118	2,727468	hive	2,727468
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	19.0	1.0	13,789474	2,623906	we	2,623906
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	99.0	2.0	3,454545	1,239691	is	2,479382
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	101.0	2.0	3,405941	1,225521	to	2,451042
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	28.0	1.0	9,678571	2,269914	be	2,269914
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	29.0	1.0	9,379310	2,238506	there	2,238506
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/11/2015 20:59:47_dclute@cloudera.com_50	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
