docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	2.0	122,500000	4,808111	compressed	9,616222
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	2.0	122,500000	4,808111	snappy	9,616222
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	13.0	2.0	19,692308	2,980228	which	5,960456
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	1.0	1.0	244,000000	5,497168	whether	5,497168
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	1.0	1.0	244,000000	5,497168	extension	5,497168
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	133.0	5.0	2,827068	1,039240	the	5,196200
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	1.0	122,500000	4,808111	doesn't	4,808111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	1.0	122,500000	4,808111	noam	4,808111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	1.0	122,500000	4,808111	such	4,808111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	1.0	122,500000	4,808111	teaching	4,808111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	2.0	1.0	122,500000	4,808111	cohen	4,808111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	25.0	2.0	10,720000	2,372111	file	4,744222
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	3.0	1.0	82,000000	4,406719	given	4,406719
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	4.0	1.0	61,750000	4,123094	directory	4,123094
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	4.0	1.0	61,750000	4,123094	students	4,123094
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	4.0	1.0	61,750000	4,123094	asked	4,123094
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	86.0	3.0	3,825581	1,341710	in	4,025131
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	5.0	1.0	49,600000	3,903991	developer	3,903991
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	6.0	1.0	41,500000	3,725693	me	3,725693
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	6.0	1.0	41,500000	3,725693	case	3,725693
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	99.0	3.0	3,454545	1,239691	is	3,719073
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	7.0	1.0	35,714286	3,575551	was	3,575551
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	8.0	1.0	31,375000	3,446011	class	3,446011
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	8.0	1.0	31,375000	3,446011	about	3,446011
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	54.0	2.0	5,500000	1,704748	and	3,409496
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	56.0	2.0	5,339286	1,675092	for	3,350184
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	9.0	1.0	28,000000	3,332205	them	3,332205
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	12.0	1.0	21,250000	3,056357	change	3,056357
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	13.0	1.0	19,692308	2,980228	way	2,980228
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	14.0	1.0	18,357143	2,910019	know	2,910019
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	29.0	1.0	9,379310	2,238506	there	2,238506
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	119.0	2.0	3,042017	1,112521	a	2,225041
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	31.0	1.0	8,838710	2,179141	not	2,179141
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
2/11/2015 21:40:39_etroyka@cloudera.com_61	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
