docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	1.0	1.0	244,000000	5,497168	totalorderpartitioner	5,497168
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	3.0	1.0	82,000000	4,406719	complete	4,406719
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	6.0	1.0	41,500000	3,725693	point	3,725693
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	6.0	1.0	41,500000	3,725693	example	3,725693
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	6.0	1.0	41,500000	3,725693	me	3,725693
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	30.0	1.0	9,100000	2,208274	you	2,208274
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	75.0	1.0	4,240000	1,444563	can	1,444563
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/11/2015 22:15:26_etroyka@cloudera.com_74	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
