docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	1.0	1.0	244,000000	5,497168	null	5,497168
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	5.0	1.0	49,600000	3,903991	join	3,903991
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	6.0	1.0	41,500000	3,725693	happen	3,725693
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	9.0	1.0	28,000000	3,332205	values	3,332205
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	10.0	1.0	25,300000	3,230804	field	3,230804
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	15.0	1.0	17,200000	2,844909	will	2,844909
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	22.0	1.0	12,045455	2,488687	with	2,488687
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	119.0	2.0	3,042017	1,112521	a	2,225041
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	30.0	1.0	9,100000	2,208274	you	2,208274
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	34.0	1.0	8,147059	2,097657	on	2,097657
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/12/2015 15:06:35_mmyers@cloudera.com_91	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
