docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	thoughts	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	party	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	effective	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	generating	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	etl	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	aren’t	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	cover	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	vendors	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	guis	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	generate	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	1.0	1.0	244,000000	5,497168	3rd	5,497168
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	2.0	1.0	122,500000	4,808111	those	4,808111
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	2.0	1.0	122,500000	4,808111	provide	4,808111
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	3.0	1.0	82,000000	4,406719	under	4,406719
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	3.0	1.0	82,000000	4,406719	types	4,406719
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	34.0	2.0	8,147059	2,097657	are	4,195314
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	4.0	1.0	61,750000	4,123094	tools	4,123094
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	6.0	1.0	41,500000	3,725693	your	3,725693
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	6.0	1.0	41,500000	3,725693	they	3,725693
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	8.0	1.0	31,375000	3,446011	jobs	3,446011
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	14.0	1.0	18,357143	2,910019	know	2,910019
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	17.0	1.0	15,294118	2,727468	hive	2,727468
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	17.0	1.0	15,294118	2,727468	using	2,727468
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	30.0	1.0	9,100000	2,208274	you	2,208274
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	34.0	1.0	8,147059	2,097657	on	2,097657
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	54.0	1.0	5,500000	1,704748	and	1,704748
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	56.0	1.0	5,339286	1,675092	for	1,675092
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/12/2015 17:18:58_mmyers@cloudera.com_136	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
