docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	1.0	1.0	244,000000	5,497168	receiver	5,497168
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	1.0	1.0	244,000000	5,497168	dstreams	5,497168
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	2.0	1.0	122,500000	4,808111	faster	4,808111
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	2.0	1.0	122,500000	4,808111	able	4,808111
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	3.0	1.0	82,000000	4,406719	getting	4,406719
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	3.0	1.0	82,000000	4,406719	app	4,406719
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	6.0	1.0	41,500000	3,725693	happens	3,725693
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	8.0	1.0	31,375000	3,446011	process	3,446011
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	16.0	1.0	16,187500	2,784239	streaming	2,784239
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	21.0	1.0	12,571429	2,531427	than	2,531427
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	31.0	1.0	8,838710	2,179141	data	2,179141
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/12/2015 3:28:52_ajalis@cloudera.com_78	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
