docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	25.0	3.0	10,720000	2,372111	file	7,116333
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	8.0	2.0	31,375000	3,446011	rdd	6,892023
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	1.0	1.0	244,000000	5,497168	i.e	5,497168
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	1.0	1.0	244,000000	5,497168	s3	5,497168
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	1.0	1.0	244,000000	5,497168	large	5,497168
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	30.0	2.0	9,100000	2,208274	an	4,416549
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	3.0	1.0	82,000000	4,406719	partitions	4,406719
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	5.0	1.0	49,600000	3,903991	local	3,903991
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	5.0	1.0	49,600000	3,903991	many	3,903991
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	5.0	1.0	49,600000	3,903991	non	3,903991
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	8.0	1.0	31,375000	3,446011	create	3,446011
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	15.0	1.0	17,200000	2,844909	will	2,844909
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	22.0	1.0	12,045455	2,488687	with	2,488687
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	25.0	1.0	10,720000	2,372111	hdfs	2,372111
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	27.0	1.0	10,000000	2,302585	spark	2,302585
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	119.0	2.0	3,042017	1,112521	a	2,225041
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	33.0	1.0	8,363636	2,123893	have	2,123893
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/12/2015 3:35:17_ajalis@cloudera.com_81	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
