docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	1.0	1.0	244,000000	5,497168	ui	5,497168
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	1.0	1.0	244,000000	5,497168	installed	5,497168
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	2.0	1.0	122,500000	4,808111	daemons	4,808111
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	3.0	1.0	82,000000	4,406719	under	4,406719
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	3.0	1.0	82,000000	4,406719	individual	4,406719
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	4.0	1.0	61,750000	4,123094	control	4,123094
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	5.0	1.0	49,600000	3,903991	without	3,903991
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	5.0	1.0	49,600000	3,903991	cloudera	3,903991
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	6.0	1.0	41,500000	3,725693	manager	3,725693
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	17.0	1.0	15,294118	2,727468	using	2,727468
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	30.0	1.0	9,100000	2,208274	you	2,208274
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/13/2015 16:21:17_whouseholder@cloudera.com_159	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
