docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	2.0	1.0	122,500000	4,808111	comma	4,808111
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	2.0	1.0	122,500000	4,808111	tablea	4,808111
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	2.0	1.0	122,500000	4,808111	separated	4,808111
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	3.0	1.0	82,000000	4,406719	id	4,406719
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	5.0	1.0	49,600000	3,903991	some	3,903991
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	6.0	1.0	41,500000	3,725693	select	3,725693
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	7.0	1.0	35,714286	3,575551	external	3,575551
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	9.0	1.0	28,000000	3,332205	values	3,332205
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	13.0	1.0	19,692308	2,980228	way	2,980228
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	13.0	1.0	19,692308	2,980228	where	2,980228
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	86.0	2.0	3,825581	1,341710	in	2,683421
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	22.0	1.0	12,045455	2,488687	with	2,488687
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	24.0	1.0	11,125000	2,409195	from	2,409195
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	25.0	1.0	10,720000	2,372111	file	2,372111
2/13/2015 18:25:12_mjudd@cloudera.com_173	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
