docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	2.0	1.0	122,500000	4,808111	persist	4,808111
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	4.0	1.0	61,750000	4,123094	methods	4,123094
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	4.0	1.0	61,750000	4,123094	should	4,123094
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	5.0	1.0	49,600000	3,903991	dstream	3,903991
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	6.0	1.0	41,500000	3,725693	cache	3,725693
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	8.0	1.0	31,375000	3,446011	application	3,446011
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	16.0	1.0	16,187500	2,784239	streaming	2,784239
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	27.0	1.0	10,000000	2,302585	spark	2,302585
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
2/13/2015 11:34:05_mhagen@cloudera.com_147	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
