docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	1.0	1.0	244,000000	5,497168	location	5,497168
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	2.0	1.0	122,500000	4,808111	agents	4,808111
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	3.0	1.0	82,000000	4,406719	created	4,406719
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	5.0	1.0	49,600000	3,903991	cloudera	3,903991
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	6.0	1.0	41,500000	3,725693	configuration	3,725693
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	6.0	1.0	41,500000	3,725693	manager	3,725693
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	13.0	1.0	19,692308	2,980228	files	2,980228
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	24.0	1.0	11,125000	2,409195	by	2,409195
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	133.0	2.0	2,827068	1,039240	the	2,078480
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	43.0	1.0	6,651163	1,894792	what	1,894792
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
2/15/2015 23:27:00_mirko.kaempf@cloudera.com_178	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
