docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	13.0	21.0	6,461538	1,865867	ambassador	39,183216
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	70.0	34.0	2,014286	0,700265	security	23,808998
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	70.0	32.0	2,014286	0,700265	council	22,408469
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	15.0	10.0	5,733333	1,746297	reiterate	17,462971
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	22.0	12.0	4,227273	1,441557	monuc	17,298684
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	18.0	10.0	4,944444	1,598265	discuss	15,982646
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	2.0	4.0	36,500000	3,597312	gérard	14,389249
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	2.0	4.0	36,500000	3,597312	araud	14,389249
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	2.0	4.0	36,500000	3,597312	counsellor	14,389249
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	59.0	18.0	2,203390	0,789997	democratic	14,219946
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	47.0	15.0	2,510638	0,920537	mission	13,808055
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_187.txt	71.0	1.0	3.0	72,000000	4,276666	31442	12,829998
